time,temperature,humidity,pressure,lux
2022/3/12 22:32:2,24.20,32.70,98490.45,10.00
2022/3/12 22:32:6,24.00,33.90,98486.98,12.08
2022/3/12 22:32:11,24.10,33.90,98488.27,22.92
2022/3/12 22:32:16,24.10,33.80,98489.58,22.92
2022/3/12 22:32:21,24.10,35.00,98489.49,22.92
2022/3/12 22:32:26,24.10,34.40,98489.90,22.92
2022/3/12 22:32:32,24.10,34.10,98489.11,22.92
2022/3/12 22:32:37,24.10,34.00,98489.25,7.92
2022/3/12 22:32:42,24.10,33.80,98488.45,6.67
2022/3/12 22:32:47,24.10,33.80,98488.39,5.83
2022/3/12 22:32:52,24.10,33.80,98488.27,22.92
2022/3/12 22:32:57,24.10,33.80,98488.52,22.92
2022/3/12 22:33:2,24.10,33.70,98487.97,22.92
2022/3/12 22:55:21,22.70,33.80,98480.01,12.50
2022/3/12 22:55:26,22.60,35.10,98481.62,12.92
2022/3/12 22:55:31,22.60,35.00,98483.95,13.33
2022/3/12 22:55:36,22.60,35.00,98485.27,13.33
2022/3/12 22:55:41,22.60,35.00,98486.06,13.33
2022/3/12 22:55:47,22.60,34.90,98485.70,13.33
2022/3/12 22:55:52,22.60,34.80,98485.61,13.33
2022/3/12 22:55:57,22.60,34.80,98485.36,13.33
2022/3/12 22:56:2,22.60,34.80,98484.39,13.33
2022/3/12 22:56:7,22.50,34.70,98484.80,13.33
2022/3/12 22:56:12,22.50,34.80,98484.85,13.33
2022/3/12 22:56:17,22.50,34.80,98484.55,13.33
2022/3/12 22:56:23,22.60,34.90,98484.42,13.33
2022/3/12 22:56:28,22.50,34.90,98484.42,13.33
2022/3/12 22:56:33,22.50,34.90,98484.80,13.33
2022/3/12 22:56:38,22.50,34.80,98484.09,13.33
2022/3/12 22:56:43,22.50,34.80,98483.80,13.33
2022/3/12 22:56:48,22.50,34.80,98484.30,13.33
2022/3/12 22:56:53,22.50,34.80,98484.34,13.33
2022/3/12 22:56:59,22.50,34.80,98486.34,13.33
2022/3/12 22:57:4,22.50,34.90,98485.80,13.33
2022/3/12 22:57:9,22.50,34.90,98486.43,13.33
2022/3/12 22:57:14,22.50,34.90,98486.93,13.33
2022/3/12 22:57:19,22.50,34.90,98487.10,13.33
2022/3/12 22:57:24,22.50,34.90,98487.60,13.33
2022/3/12 22:57:29,22.50,34.90,98487.23,13.33
2022/3/12 22:57:35,22.40,34.80,98487.39,13.33
2022/3/12 22:57:40,22.40,34.80,98486.52,13.33
2022/3/12 22:57:45,22.40,34.80,98486.80,13.33
2022/3/12 22:57:50,22.40,34.80,98487.14,13.33
2022/3/12 22:57:55,22.50,34.80,98486.77,13.33
2022/3/12 22:58:0,22.40,34.80,98487.40,13.33
2022/3/12 22:58:5,22.40,34.80,98487.06,13.33
2022/3/12 22:58:11,22.40,34.80,98486.86,13.33
2022/3/12 22:58:16,22.40,34.70,98486.48,13.33
2022/3/12 22:58:21,22.40,34.70,98486.31,13.33
2022/3/12 22:58:26,22.40,34.70,98483.77,13.33
2022/3/12 22:58:31,22.40,34.70,98483.61,12.92
2022/3/12 22:58:36,22.40,34.60,98484.41,12.50
2022/3/12 22:58:41,22.40,34.60,98484.20,12.50
2022/3/12 22:58:47,22.40,34.60,98484.03,13.33
2022/3/12 22:58:52,22.40,34.60,98484.37,13.33
2022/3/12 22:58:57,22.40,34.60,98484.03,13.33
2022/3/12 22:59:2,22.40,34.60,98484.16,13.33
2022/3/12 22:59:7,22.40,34.60,98483.76,13.33
2022/3/12 22:59:12,22.40,34.70,98483.92,13.33
2022/3/12 22:59:17,22.40,34.70,98484.19,13.33
2022/3/12 22:59:23,22.40,34.70,98484.69,13.33
2022/3/12 22:59:28,22.30,34.70,98483.97,13.33
2022/3/12 22:59:33,22.40,34.80,98483.93,13.33
2022/3/12 22:59:38,22.40,34.80,98483.39,12.92
2022/3/12 22:59:43,22.40,34.80,98483.14,13.33
2022/3/12 22:59:48,22.40,34.70,98484.15,13.33
2022/3/12 22:59:53,22.40,34.70,98483.77,13.33
2022/3/12 22:59:59,22.40,34.70,98483.70,13.33
2022/3/12 23:0:4,22.30,34.70,98483.83,13.33
2022/3/12 23:0:9,22.40,34.70,98484.75,13.33
2022/3/12 23:0:14,22.40,34.70,98485.22,13.75
2022/3/12 23:0:19,22.30,34.60,98485.68,13.33
2022/3/12 23:0:24,22.30,34.60,98484.94,13.33
2022/3/12 23:0:29,22.30,34.60,98485.06,13.75
2022/3/12 23:0:35,22.40,34.60,98485.18,13.33
2022/3/12 23:0:40,22.40,34.70,98485.48,13.75
2022/3/12 23:0:45,22.30,34.60,98485.61,13.75
